propertyType,furnishing,flrNum,facing,totalFlrNum,city,carpetArea,bedrooms,bathrooms,exactPrice
Multistorey Apartment,Semi-Furnished,2.0,Unknown,5,Patna,1000.0,3,2,8305000
Multistorey Apartment,Unfurnished,2.0,Unknown,7,Patna,1000.0,3,3,12361500
Multistorey Apartment,Unfurnished,2.0,South - East,4,Patna,1250.0,3,2,7630000
Multistorey Apartment,Semi-Furnished,4.0,East,4,Patna,1270.0,3,3,13000000
Multistorey Apartment,Unfurnished,2.0,Unknown,7,Patna,1000.0,3,2,8525000
Multistorey Apartment,Semi-Furnished,4.0,East,7,Patna,1175.0,3,3,11000000
Multistorey Apartment,Unfurnished,2.0,Unknown,4,Patna,1000.0,3,2,9934800
Multistorey Apartment,Semi-Furnished,2.0,Unknown,4,Patna,1000.0,3,2,14180400
Multistorey Apartment,Unfurnished,2.0,East,3,Patna,1100.0,3,2,7250000
Multistorey Apartment,Semi-Furnished,4.0,North - East,8,Patna,1656.0,4,3,8880000
Multistorey Apartment,Semi-Furnished,2.0,East,4,Patna,1000.0,1,1,2300000
Multistorey Apartment,Unfurnished,1.0,North - West,4,Patna,1000.0,2,2,6500000
Multistorey Apartment,Unfurnished,5.0,North,6,Patna,791.0,2,2,5296250
Multistorey Apartment,Semi-Furnished,2.0,Unknown,4,Patna,1000.0,2,2,6000000
Multistorey Apartment,Unfurnished,1.0,East,7,Patna,1018.0,3,2,7476600
Multistorey Apartment,Semi-Furnished,2.0,Unknown,4,Patna,1000.0,4,3,12225000
Multistorey Apartment,Unfurnished,3.0,Unknown,4,Patna,1000.0,3,2,12500000
Multistorey Apartment,Unfurnished,4.0,East,6,Patna,945.0,2,2,4500000
Multistorey Apartment,Unfurnished,2.0,Unknown,4,Patna,1000.0,2,2,5600000
Multistorey Apartment,Semi-Furnished,4.0,East,4,Patna,900.0,3,2,7000000
Multistorey Apartment,Unfurnished,2.0,Unknown,4,Patna,1000.0,3,2,8475000
Multistorey Apartment,Semi-Furnished,2.0,Unknown,4,Patna,1000.0,3,2,7360000
Multistorey Apartment,Unfurnished,1.0,West,4,Patna,1042.0,3,3,12200000
Multistorey Apartment,Unfurnished,2.0,South - East,4,Patna,950.0,2,2,6220000
Multistorey Apartment,Unfurnished,2.0,West,4,Patna,694.0,2,2,5472000
Multistorey Apartment,Semi-Furnished,2.0,Unknown,4,Patna,1000.0,2,2,4160000
Multistorey Apartment,Unfurnished,4.0,West,4,Patna,1000.0,2,2,7125000
Multistorey Apartment,Semi-Furnished,2.0,East,4,Patna,1100.0,3,2,6500000
Multistorey Apartment,Semi-Furnished,2.0,Unknown,5,Patna,1000.0,3,2,7766000
Multistorey Apartment,Unfurnished,2.0,Unknown,7,Patna,1000.0,3,3,12328000
Multistorey Apartment,Unfurnished,2.0,Unknown,4,Patna,1000.0,3,2,9860000
Multistorey Apartment,Unfurnished,2.0,Unknown,7,Patna,1000.0,3,2,8200500
Multistorey Apartment,Semi-Furnished,2.0,Unknown,4,Patna,1000.0,2,2,4800000
Multistorey Apartment,Unfurnished,19.0,South -West,20,Patna,2000.0,4,4,16900000
Multistorey Apartment,Semi-Furnished,2.0,West,4,Patna,1133.0,3,2,9578100
Multistorey Apartment,Unfurnished,1.0,East,4,Patna,1000.0,3,2,7375000
Multistorey Apartment,Semi-Furnished,4.0,East,4,Patna,1100.0,2,2,6000000
Multistorey Apartment,Unfurnished,3.0,West,11,Patna,873.0,2,2,5621200
Multistorey Apartment,Unfurnished,3.0,West,6,Patna,825.0,2,2,8066800
Multistorey Apartment,Semi-Furnished,2.0,Unknown,4,Patna,1000.0,2,2,5420000
Multistorey Apartment,Unfurnished,2.0,Unknown,7,Patna,1000.0,2,2,5434000
Multistorey Apartment,Semi-Furnished,5.0,East,6,Patna,1027.0,3,2,6887500
Multistorey Apartment,Unfurnished,2.0,East,3,Patna,1000.0,3,2,7385000
Multistorey Apartment,Semi-Furnished,5.0,North - East,8,Patna,1230.0,3,3,7440000
Multistorey Apartment,Semi-Furnished,2.0,Unknown,4,Patna,1000.0,3,2,5600000
Multistorey Apartment,Unfurnished,2.0,Unknown,4,Patna,1000.0,2,2,6246800
Multistorey Apartment,Semi-Furnished,2.0,Unknown,4,Patna,1000.0,3,2,8950000
Multistorey Apartment,Unfurnished,2.0,Unknown,4,Patna,1000.0,2,2,6053000
Multistorey Apartment,Unfurnished,3.0,West,6,Patna,1000.0,3,2,7500000
Multistorey Apartment,Unfurnished,2.0,West,4,Patna,1002.0,3,2,7454520
Multistorey Apartment,Semi-Furnished,1.0,West,6,Patna,1030.0,3,2,7500000
Multistorey Apartment,Semi-Furnished,2.0,Unknown,4,Patna,1000.0,4,3,11500000
Multistorey Apartment,Semi-Furnished,1.0,North,4,Patna,785.0,2,2,6678000
Multistorey Apartment,Semi-Furnished,2.0,East,3,Patna,1000.0,3,2,7500000
Multistorey Apartment,Semi-Furnished,6.0,East,6,Patna,1000.0,3,2,15100000
Multistorey Apartment,Semi-Furnished,2.0,Unknown,5,Patna,1000.0,2,2,9993500
Multistorey Apartment,Semi-Furnished,2.0,East,5,Patna,1250.0,3,2,11000000
Multistorey Apartment,Unfurnished,2.0,Unknown,7,Patna,1000.0,3,2,8123500
Multistorey Apartment,Unfurnished,2.0,Unknown,7,Patna,1000.0,3,3,10760200
Multistorey Apartment,Semi-Furnished,4.0,West,7,Patna,599.0,2,2,4800000
Multistorey Apartment,Unfurnished,0.0,North,4,Patna,1000.0,3,2,8820000
Multistorey Apartment,Unfurnished,2.0,Unknown,4,Patna,1000.0,3,2,10410800
Multistorey Apartment,Semi-Furnished,1.0,East,4,Patna,948.0,3,2,8350000
Multistorey Apartment,Unfurnished,2.0,South - East,4,Patna,950.0,3,2,5490000
Multistorey Apartment,Semi-Furnished,2.0,Unknown,4,Patna,1000.0,3,2,7080000
Multistorey Apartment,Unfurnished,3.0,East,10,Patna,1100.0,3,2,9500000
Multistorey Apartment,Semi-Furnished,2.0,Unknown,4,Patna,1000.0,1,3,4090000
Multistorey Apartment,Unfurnished,2.0,East,3,Patna,750.0,2,2,6400000
Multistorey Apartment,Unfurnished,2.0,North,4,Patna,928.0,3,2,8100000
Multistorey Apartment,Unfurnished,2.0,East,3,Patna,1000.0,2,2,5931500
Multistorey Apartment,Semi-Furnished,4.0,North - East,6,Patna,625.0,2,2,4296000
Multistorey Apartment,Unfurnished,2.0,Unknown,7,Patna,1000.0,2,2,6188000
Multistorey Apartment,Unfurnished,2.0,North,7,Patna,832.0,2,2,6390300
Multistorey Apartment,Semi-Furnished,2.0,Unknown,4,Patna,1000.0,4,3,12375000
Residential House,Unfurnished,1.0,East,1,Patna,1000.0,5,3,120000000
Multistorey Apartment,Unfurnished,4.0,West,6,Patna,1000.0,3,2,8718000
Multistorey Apartment,Semi-Furnished,2.0,Unknown,4,Patna,1000.0,3,2,5000000
Multistorey Apartment,Unfurnished,2.0,Unknown,4,Patna,1000.0,2,2,5997600
Multistorey Apartment,Semi-Furnished,2.0,Unknown,4,Patna,1000.0,2,2,7300000
Multistorey Apartment,Unfurnished,3.0,North,4,Patna,800.0,3,2,6491225
Multistorey Apartment,Unfurnished,2.0,Unknown,7,Patna,895.0,3,2,7840000
Multistorey Apartment,Semi-Furnished,2.0,Unknown,4,Patna,1000.0,3,2,8275000
Multistorey Apartment,Furnished,4.0,North,4,Patna,1400.0,3,2,16500000
Multistorey Apartment,Unfurnished,2.0,West,6,Patna,1050.0,3,2,9000000
Multistorey Apartment,Unfurnished,2.0,Unknown,4,Patna,1000.0,3,2,5512320
